Participant,Session,Block,OnsetDelay,Condition,Distance,Display,Occlusion,Percept,Time
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,21.966987566030866
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,22.10045541254908
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,23.418271111655713
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,23.60165334285375
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,24.652411752156695
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,24.786730465059463
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,25.903415780710475
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,28.20518195043701
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,28.972456932664045
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,29.072510858187115
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,29.989865173752833
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,30.13998711260865
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,30.807418397995434
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,30.940613817995427
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,32.39180842071619
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,right,34.12669325831462
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,34.49338961408125
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,34.993737610968765
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,38.69660984479788
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,38.8300559220736
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,42.3160813124739
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,42.44951184029105
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,45.251652440985254
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,45.36841332700578
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,47.70358004519312
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,47.87037784562881
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,48.55427227599921
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,48.67099584331868
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,50.705867370580336
